Date,Close
2023-01-01,133.5018034067022
2023-01-02,107.81021549701632
2023-01-03,152.32097703116446
2023-01-04,197.3046125801417
2023-01-05,159.08488434667905
2023-01-06,180.01162016912286
2023-01-07,187.35763012290582
2023-01-08,199.01436633583072
2023-01-09,123.38079922764229
2023-01-10,162.04591524894903
2023-01-11,158.77453029111126
2023-01-12,107.29388300082118
2023-01-13,130.99420497288293
2023-01-14,177.28025272307787
2023-01-15,132.05395836336447
2023-01-16,124.68242685580859
2023-01-17,106.3792132243709
2023-01-18,193.22438871087942
2023-01-19,199.7708010257569
2023-01-20,191.4305549007464
2023-01-21,156.6564951521326
2023-01-22,119.01735681477558
2023-01-23,143.63428633111226
2023-01-24,184.67226097004766
2023-01-25,111.72602487336296
2023-01-26,141.36761020603032
2023-01-27,193.3724945540464
2023-01-28,147.86753766270013
2023-01-29,193.5019593538565
2023-01-30,133.73008580408992
2023-01-31,189.03171343299448
2023-02-01,126.99664350832423
2023-02-02,139.17135112573482
2023-02-03,167.22301327049018
2023-02-04,125.53700952548591
2023-02-05,179.72280404680197
2023-02-06,173.42991052413856
2023-02-07,196.2733461518753
2023-02-08,159.17348052177772
2023-02-09,156.68056530202438
2023-02-10,156.7072921799496
2023-02-11,170.76996954250862
2023-02-12,148.09317430590156
2023-02-13,114.20475606953156
2023-02-14,170.4810345644937
2023-02-15,130.180397244161
2023-02-16,114.71713527256455
2023-02-17,147.43320888799315
2023-02-18,131.58197616371876
2023-02-19,140.01396178269738
2023-02-20,182.0696262933908
2023-02-21,111.08742079560375
2023-02-22,123.92399036570501
2023-02-23,119.86686261756151
2023-02-24,104.58730374051183
2023-02-25,181.35180735939437
2023-02-26,185.7716914439467
2023-02-27,171.35978959266615
2023-02-28,189.10547990584996
2023-03-01,136.20581200255035
2023-03-02,112.95901731285636
2023-03-03,155.13627329095453
2023-03-04,184.6786958309259
2023-03-05,139.92101929239027
2023-03-06,192.08651117460116
2023-03-07,114.79218628079812
2023-03-08,170.7243288040844
2023-03-09,119.91167053068625
2023-03-10,141.00705452404867
2023-03-11,184.00082316255003
2023-03-12,182.6340743010423
2023-03-13,163.7146137769298
2023-03-14,187.9630134046776
2023-03-15,126.81769230075984
2023-03-16,131.08094525164864
2023-03-17,149.8096138306861
2023-03-18,183.7885951982756
2023-03-19,109.66237709182673
2023-03-20,111.51570359786612
2023-03-21,141.53006134552908
2023-03-22,179.9311889260515
2023-03-23,109.78826131699691
2023-03-24,138.43464505147466
2023-03-25,142.5827741131527
2023-03-26,161.79966179933638
2023-03-27,125.8712799316474
2023-03-28,116.23916090859188
2023-03-29,141.68681668357328
2023-03-30,125.66411766500164
2023-03-31,167.80423286877425
2023-04-01,162.3303380719227
2023-04-02,135.6151634211585
2023-04-03,179.64695979337424
2023-04-04,126.75575244418667
2023-04-05,163.51593014458416
2023-04-06,173.70775472441528
2023-04-07,160.0850983009924
2023-04-08,193.96972589244095
2023-04-09,115.20771584774016
2023-04-10,147.0943485701181
2023-04-11,102.52673844469743
2023-04-12,126.55164202537898
2023-04-13,196.337154677412
2023-04-14,158.30911067744174
2023-04-15,167.40728945859246
2023-04-16,125.46266985407956
2023-04-17,129.1687840462686
2023-04-18,168.24524352637332
2023-04-19,129.82180494048885
2023-04-20,165.27671313498067
2023-04-21,131.8673387416685
2023-04-22,101.64033023774242
2023-04-23,163.68194815836907
2023-04-24,171.00635525471
2023-04-25,172.4682171364734
2023-04-26,119.63780636936988
2023-04-27,178.45782980333968
2023-04-28,116.54071349590566
2023-04-29,184.82201665343715
2023-04-30,138.26202508317985
2023-05-01,133.00171141640016
2023-05-02,119.45886502116048
2023-05-03,167.1159204055412
2023-05-04,161.62113392333308
2023-05-05,123.54156420798066
2023-05-06,130.02073004110534
2023-05-07,181.54468448207712
2023-05-08,176.1514379608705
2023-05-09,161.96259263830572
2023-05-10,190.85638752665727
2023-05-11,169.50896270434964
2023-05-12,114.90697329281409
2023-05-13,168.85380944617867
2023-05-14,164.78693512302016
2023-05-15,166.70516412482607
2023-05-16,174.44535123967427
2023-05-17,182.2772011640654
2023-05-18,173.5625782834103
2023-05-19,184.38085890845264
2023-05-20,166.14905794611389
2023-05-21,128.77443668542153
2023-05-22,143.00959235491197
2023-05-23,173.968230398552
2023-05-24,109.77350467353743
2023-05-25,138.22190122164494
2023-05-26,182.21627745074557
2023-05-27,103.86098287961744
2023-05-28,163.86407649264856
2023-05-29,175.2134985515608
2023-05-30,107.7825138710666
2023-05-31,166.89596221452598
2023-06-01,128.19368301130936
2023-06-02,148.10039777011986
